Ano,League of Legends,Dota 2,SMITE
2015,84.83333333333333,30.833333333333332,6.166666666666667
2016,65.5,22.25,5.416666666666667
2017,55.416666666666664,15.833333333333334,3.3333333333333335
2018,39.5,10.75,2.5
2019,36.75,9.166666666666666,2.0
2020,39.0,7.333333333333333,2.4166666666666665
2021,30.5,6.916666666666667,2.1666666666666665
2022,33.916666666666664,9.0,1.8333333333333333
2023,36.75,7.083333333333333,1.5833333333333333
2024,36.0,9.083333333333334,1.4166666666666667
2025,33.833333333333336,8.583333333333334,1.1666666666666667
