Mês,Pico,Ganho,Ganho%,Pico_Mínimo_Diário,Pico_Médio_Diário
February 2026,162081,+119337,+279%,36463,94673
January 2026,42744,-7996,-16%,32207,35653
December 2025,50740,+10175,+25%,32219,36851
November 2025,40565,-10817,-21%,29416,33860
October 2025,51382,+4751,+10%,31568,37855
September 2025,46631,-12107,-21%,33342,39085
August 2025,58738,+28626,+95%,25696,35775
July 2025,30112,-6714,-18%,24922,27257
June 2025,36826,-3003,-8%,24343,30076
May 2025,39829,-19731,-33%,29515,34376
April 2025,59560,+19439,+49%,25433,34803
March 2025,40121,-18949,-32%,25337,31592
February 2025,59070,+22924,+64%,25553,33950
January 2025,36146,-12529,-26%,18870,28853
December 2024,48675,-7932,-14%,30240,37230
November 2024,56607,-1610,-3%,37516,44500
October 2024,58217,-1223,-2%,42123,46877
September 2024,59440,+444,+1%,59440,59440
August 2024,58996,+7348,+14%,58996,58996
July 2024,51648,+1468,+3%,51648,51648
June 2024,50180,-1325,-3%,50180,50180
May 2024,51505,-9375,-15%,51505,51505
April 2024,60880,+15168,+33%,60880,60880
March 2024,45712,+4455,+11%,45712,45712
February 2024,41257,+5915,+17%,41257,41257
January 2024,35342,-3233,-8%,35342,35342
December 2023,38575,-272,-1%,38575,38575
November 2023,38847,+1059,+3%,38847,38847
October 2023,37788,+4407,+13%,37788,37788
September 2023,33381,-41980,-56%,33381,33381
August 2023,75361,-,-,75361,75361
